ProfID,x,y,ph_0_30,k_0_30,soc_0_30,bd_0_30,cec_0_30,p_0_30,n_0_30,clay_0_30,sand_0_30,silt_0_30
6572,-58.203665,-37.897639,6.483883671943335,915.6645927956467,3.2986734529035044,1.1446800592122326,26.03526750036897,NA,NA,23.47073078,43,33.529269219999996
6578,-58.174558,-37.860565,6.832188226250891,232.58212607771648,1.818576079986679,1.3728934149063465,14.862348007343675,NA,NA,25.435003549999998,42,32.56499645
6579,-58.17404,-37.859933,9.60015816149825,656.2194602446439,0.9464446138926139,1.5435410680868,15.920898220962298,NA,NA,25.435003549999998,42,32.56499645
6695,-58.458167,-37.864595,6.569600735028231,701.8536689534201,2.5791327317637736,1.2408770349813187,21.10358462639496,NA,NA,22.16787768,45,32.83212232
6698,-58.415295,-37.877354,6.8891771129511605,702.2638331172961,3.1804147312939586,1.1630209618399343,24.33862833149788,NA,NA,27.655998959999998,40,32.34400104
6699,-58.361847,-37.876597,8.30295566502463,538.1638226600985,2.8243842364532017,1.199091516999399,26.470279146141216,NA,NA,23.87607977,44,32.123920229999996
6700,-58.371095,-37.970677,9.697171250343919,920.9269236900086,1.32658701438191,1.451557775979282,25.568315753687465,NA,NA,23.303144330000002,44,32.696855670000005
6701,-58.274497,-37.954108,7.239224752873237,521.7090052259935,2.808342322891807,1.2347002645820964,27.267767994035513,NA,NA,22.1337073,45,32.8662927
6702,-58.312215,-37.942206,6.416885085244292,974.8770965483733,3.210406363035009,1.1503944741690177,24.952900007060933,NA,NA,25.40289957,41,33.59710043
6703,-58.39105,-37.92482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6706,-58.089591,-37.686253,8.063420052296719,395.25370641353965,1.8088540335718388,1.363820705475218,19.67429693437799,NA,NA,25.714784090000002,39,35.28521591
6708,-58.291158,-37.948582,6.5973901718221715,900.5282828773514,3.3387252986999485,1.1537346842373217,29.74446267775858,NA,NA,28.83784733,38,33.16215267
6711,-58.101478,-37.697817,9.639388461986337,1148.7984362999339,0.897960208017707,1.538323892949638,31.084997704604284,NA,NA,29.286961220000002,37,33.71303878
6717,-58.045808,-37.753701,6.619017057921872,923.9509950505427,4.189743673219113,1.0431434191776614,27.376185480562466,NA,NA,29.91940356,39,31.08059644
6720,-58.07997,-37.741131,8.27425135018481,384.6439693032454,1.449900405451408,1.4291289246021688,16.0013055007768,NA,NA,27.80599487,39,33.19400513
6721,-58.089926,-37.690694,6.765216242227188,708.73938531692,3.5119742084703702,1.104223278772473,23.59728970711734,NA,NA,26.15776055,39,34.84223945
6722,-58.204346,-37.685472,6.507466980664362,762.7607193934696,3.7801974397256024,1.0777114973906061,26.227809506347956,NA,NA,24.80525518,42,33.19474482
